epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,8579.86,0.73844,0.37662,0.81929,0.85206,0.78224,0.79282,0.60098,0.60846,0.53014,0.77506,0.0011751,0.0011751,0.0011751
136,8642.54,0.74838,0.3848,0.81025,0.91691,0.79006,0.8642,0.6669,0.60643,0.34393,0.7752,0.00116487,0.00116487,0.00116487
137,8705.32,0.75004,0.38241,0.81457,0.927,0.79676,0.87833,0.67803,0.60912,0.3375,0.77675,0.00115462,0.00115462,0.00115462
138,8768.4,0.73565,0.38341,0.81511,0.9009,0.81213,0.85687,0.65531,0.61078,0.3866,0.77706,0.00114436,0.00114436,0.00114436
139,8831.74,0.74584,0.38119,0.81182,0.91667,0.80466,0.87122,0.66364,0.61691,0.3437,0.77681,0.00113408,0.00113408,0.00113408
140,8894.38,0.74266,0.38271,0.80854,0.92541,0.79676,0.8788,0.67587,0.6086,0.33097,0.77514,0.00112379,0.00112379,0.00112379
141,8957.41,0.72259,0.37526,0.81091,0.93068,0.78717,0.86844,0.66768,0.6022,0.34276,0.77549,0.00111348,0.00111348,0.00111348
142,9020.46,0.73178,0.3779,0.81298,0.92521,0.8029,0.88777,0.6898,0.60311,0.33228,0.77658,0.00110317,0.00110317,0.00110317
143,9082.94,0.73577,0.38534,0.80917,0.91985,0.8057,0.89105,0.68688,0.60443,0.3257,0.77561,0.00109284,0.00109284,0.00109284
144,9145.95,0.73489,0.37611,0.80223,0.9123,0.8096,0.8745,0.67026,0.59859,0.34407,0.77596,0.00108251,0.00108251,0.00108251
145,9208.97,0.71011,0.37072,0.81498,0.92329,0.79564,0.87925,0.68303,0.59515,0.33074,0.77509,0.00107216,0.00107216,0.00107216
146,9271.89,0.71993,0.37834,0.81887,0.87838,0.80653,0.86195,0.66175,0.60868,0.38946,0.77672,0.00106181,0.00106181,0.00106181
147,9334.67,0.7216,0.3758,0.80647,0.9191,0.80562,0.88484,0.68455,0.58947,0.32699,0.77371,0.00105146,0.00105146,0.00105146
148,9397.53,0.72154,0.37315,0.81344,0.90536,0.80651,0.87927,0.67637,0.59278,0.33862,0.77407,0.0010411,0.0010411,0.0010411
149,9460.73,0.72539,0.36999,0.81148,0.93105,0.79915,0.88838,0.68976,0.59089,0.32663,0.77553,0.00103073,0.00103073,0.00103073
150,9523.8,0.72753,0.38067,0.81296,0.92827,0.80067,0.87989,0.68273,0.59812,0.33143,0.77431,0.00102037,0.00102037,0.00102037
151,9586.61,0.73524,0.3775,0.81257,0.94173,0.78512,0.88226,0.68499,0.60108,0.32333,0.77548,0.00101,0.00101,0.00101
152,9649.68,0.71248,0.3743,0.80764,0.93124,0.79118,0.87806,0.68628,0.58666,0.3275,0.77304,0.000999633,0.000999633,0.000999633
153,9712.65,0.72425,0.37637,0.81021,0.93058,0.78585,0.87678,0.68186,0.58485,0.32743,0.77324,0.000989267,0.000989267,0.000989267
154,9775.95,0.72958,0.37174,0.81087,0.9306,0.79844,0.88737,0.69021,0.58528,0.32283,0.77389,0.000978903,0.000978903,0.000978903
155,9839.03,0.6955,0.36185,0.80902,0.92381,0.79206,0.87502,0.68082,0.58145,0.33004,0.77311,0.000968543,0.000968543,0.000968543
156,9901.74,0.70907,0.36896,0.80631,0.92779,0.80344,0.88761,0.69431,0.58719,0.31579,0.77382,0.000958187,0.000958187,0.000958187
157,9964.85,0.71811,0.36458,0.8111,0.93531,0.79676,0.88829,0.68993,0.59286,0.31898,0.77433,0.000947837,0.000947837,0.000947837
158,10028,0.7445,0.37752,0.82041,0.91715,0.8097,0.89456,0.69562,0.59223,0.31879,0.7748,0.000937494,0.000937494,0.000937494
159,10090.8,0.72338,0.37005,0.81339,0.92524,0.80458,0.89547,0.69627,0.58554,0.31595,0.77443,0.000927159,0.000927159,0.000927159
160,10153.7,0.70469,0.36871,0.81065,0.91995,0.80845,0.89254,0.69552,0.58715,0.31625,0.77525,0.000916833,0.000916833,0.000916833
161,10217,0.70927,0.36821,0.80513,0.91891,0.81617,0.90178,0.7017,0.58106,0.31612,0.77397,0.000906517,0.000906517,0.000906517
162,10280.4,0.707,0.36727,0.80897,0.93398,0.80565,0.90299,0.70612,0.58316,0.31272,0.77351,0.000896212,0.000896212,0.000896212
163,10344.1,0.71567,0.365,0.81315,0.93703,0.79756,0.89612,0.70318,0.58108,0.3142,0.77427,0.00088592,0.00088592,0.00088592
164,10408.4,0.69759,0.36256,0.80806,0.93246,0.80458,0.89595,0.70112,0.58408,0.31524,0.7736,0.000875642,0.000875642,0.000875642
165,10472.4,0.72153,0.36505,0.80793,0.93977,0.79509,0.89613,0.70237,0.57335,0.30694,0.77336,0.000865378,0.000865378,0.000865378
166,10535.2,0.69863,0.36602,0.81204,0.92701,0.80137,0.88733,0.69177,0.58144,0.31816,0.7731,0.00085513,0.00085513,0.00085513
167,10598.3,0.69521,0.35784,0.8114,0.93547,0.80136,0.89456,0.69994,0.57495,0.30906,0.7733,0.000844899,0.000844899,0.000844899
168,10662,0.68318,0.34905,0.80878,0.92287,0.8151,0.89814,0.70345,0.57665,0.31255,0.77337,0.000834686,0.000834686,0.000834686
169,10725,0.7005,0.35944,0.80888,0.91064,0.81407,0.896,0.70424,0.57633,0.30909,0.77346,0.000824492,0.000824492,0.000824492
170,10787.9,0.69033,0.35581,0.80746,0.9085,0.80625,0.88766,0.70181,0.57966,0.30936,0.77396,0.000814319,0.000814319,0.000814319
171,10850.6,0.69537,0.35606,0.81025,0.92975,0.79899,0.89118,0.70178,0.5744,0.30563,0.77288,0.000804167,0.000804167,0.000804167
172,10913.6,0.68679,0.35113,0.80877,0.92878,0.80822,0.89801,0.7048,0.57762,0.30543,0.77363,0.000794038,0.000794038,0.000794038
173,10976.4,0.69482,0.36294,0.81032,0.92317,0.81177,0.89957,0.70485,0.5749,0.30555,0.77227,0.000783933,0.000783933,0.000783933
174,11039.1,0.6811,0.353,0.80766,0.92663,0.8109,0.89789,0.70522,0.56679,0.30348,0.77169,0.000773852,0.000773852,0.000773852
175,11101.9,0.67649,0.34742,0.80706,0.92662,0.80373,0.89195,0.70246,0.56607,0.29963,0.77256,0.000763797,0.000763797,0.000763797
176,11164.5,0.68329,0.34914,0.80954,0.92931,0.8221,0.90214,0.71033,0.57641,0.30189,0.77338,0.000753769,0.000753769,0.000753769
177,11227.6,0.69939,0.36101,0.80517,0.92543,0.81016,0.89644,0.70636,0.56603,0.29882,0.77302,0.000743769,0.000743769,0.000743769
178,11292.1,0.67386,0.35282,0.808,0.91376,0.81044,0.89427,0.70668,0.55849,0.29959,0.77143,0.000733799,0.000733799,0.000733799
179,11355.1,0.67734,0.34472,0.81002,0.945,0.79627,0.89891,0.71383,0.56575,0.29641,0.77239,0.000723859,0.000723859,0.000723859
